Time [s], Analyzer Name, Decoded Protocol Result,,,,Register,Sub-Register,Read,Write,Comment
0.051690036,I2C,0x40 + NAK,,,,,,0x40,,
0.05176434,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.051792104,I2C,0x05 + ACK,,,,,,,,
0.051819292,I2C,0x40 + ACK,,,,,,,,
0.051891224,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.051918988,I2C,0x7F + ACK,,,,REG_BANK_SEL,,,,We are now accessing bank 2
0.05194618,I2C,0x20 + ACK,,,,,,0x20,,
0.052004296,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.05203206,I2C,0x14 + ACK,,,,ACCEL_CONFIG,,,,
0.052065996,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.052092688,I2C,0x01 + NAK,,,,,0x01,,,
0.052165744,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.052193448,I2C,0x14 + ACK,,,,,,,,
0.052220636,I2C,0x01 + ACK,,,,,,0x01,,
0.052287504,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.052315272,I2C,0x7F + ACK,,,,REG_BANK_SEL,,,,
0.05234246,I2C,0x20 + ACK,,,,,,0x20,,
0.052400576,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.05242834,I2C,0x01 + ACK,,,,GYRO_CONFIG_1,,,,
0.05246228,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.052488972,I2C,0x01 + NAK,,,,,0x01,,,
0.052562088,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.052589852,I2C,0x01 + ACK,,,,,,,,
0.052617044,I2C,0x01 + ACK,,,,,,0x01,,
0.05269016,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.052717864,I2C,0x7F + ACK,,,,REG_BANK_SEL,,,,
0.052745056,I2C,0x20 + ACK,,,,,,0x20,,
0.052803232,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.052831,I2C,0x14 + ACK,,,,ACCEL_CONFIG,,,,
0.052864748,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.052891444,I2C,0x01 + NAK,,,,,,,,
0.052964492,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.05299226,I2C,0x14 + ACK,,,,,,,,
0.053019448,I2C,0x39 + ACK,,,,,,0x39,,
0.053087568,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.053115332,I2C,0x7F + ACK,,,,REG_BANK_SEL,,,,
0.053142524,I2C,0x20 + ACK,,,,,,0x20,,
0.053200704,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.053228404,I2C,0x01 + ACK,,,,GYRO_CONFIG_1,,,,
0.05326234,I2C,Setup Read to [0x69] + ACK,,,,,,0x01,,
0.053289036,I2C,0x01 + NAK,,,,,,,,
0.053362088,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.053389856,I2C,0x01 + ACK,,,,,,,,
0.053417044,I2C,0x39 + ACK,,,,,,0x39,,
0.053488976,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.05351674,I2C,0x7F + ACK,,,,REG_BANK_SEL,,,,
0.053543928,I2C,0x20 + ACK,,,,,,0x20,,
0.053602108,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.053629876,I2C,0x14 + ACK,,,,ACCEL_CONFIG,,,,
0.053663624,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.053690316,I2C,0x39 + NAK,,,,,,,,
0.053763372,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.053791136,I2C,0x14 + ACK,,,,,,,,
0.053818324,I2C,0x38 + ACK,,,,,,0x38,,
0.053890192,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.05391796,I2C,0x7F + ACK,,,,REG_BANK_SEL,,,,
0.053945148,I2C,0x20 + ACK,,,,,,0x20,,
0.054003328,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.054031092,I2C,0x01 + ACK,,,,GYRO_CONFIG_1,,,,
0.05406484,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.054091536,I2C,0x39 + NAK,,,,,,,,
0.054164592,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.054192356,I2C,0x01 + ACK,,,,,,,,
0.054219544,I2C,0x38 + ACK,,,,,,0x38,,
0.054291348,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.054319116,I2C,0x7F + ACK,,,,,,,,
0.054346304,I2C,0x00 + ACK,,,,,,,,
0.054404424,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.054432188,I2C,0x0F + ACK,,,,INT_PIN_CFG,,,,
0.054466124,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.054492816,I2C,0x00 + NAK,,,,,,,,
0.054565936,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.0545937,I2C,0x0F + ACK,,,,,,,,
0.054620888,I2C,0x02 + ACK,,,,,,0x02,,
0.054685296,I2C,Setup Write to [0x0C] + ACK,,,,,,,,This is the magnetometer
0.054713068,I2C,0x31 + ACK,,,,CNTL2,,,,
0.05474026,I2C,0x08 + ACK,,,,,,,,
0.055425916,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.055453692,I2C,0x7F + ACK,,,,,,,,
0.05548088,I2C,0x00 + ACK,,,,,,,,
0.055538988,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.055566764,I2C,0x06 + ACK,,,,PWR_MGMT_1,,,,
0.055600512,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.055627204,I2C,0x01 + NAK,,,,,,,,
0.055700316,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.055733592,I2C,0x06 + ACK,,,,,,,,
0.05576078,I2C,0x81 + ACK,,,,,,0x81,,
0.305856152,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.30588392,I2C,0x7F + ACK,,,,,,,,
0.305911108,I2C,0x00 + ACK,,,,,,,,
0.305969224,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.305996988,I2C,0x06 + ACK,,,,PWR_MGMT_1,,,,
0.30603074,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.306057432,I2C,0x41 + NAK,,,,,,,,
0.306130548,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.306158312,I2C,0x06 + ACK,,,,,,,,
0.306185504,I2C,0x01 + ACK,,,,,,0x01,,
0.306254872,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.30628264,I2C,0x7F + ACK,,,,,,,,
0.306309828,I2C,0x00 + ACK,,,,,,,,
0.306367944,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.306395648,I2C,0x06 + ACK,,,,PWR_MGMT_1,,,,
0.306429584,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.306456276,I2C,0x01 + NAK,,,,,,,,
0.306529392,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.306557156,I2C,0x06 + ACK,,,,,,,,
0.306584348,I2C,0x01 + ACK,,,,,,,,
0.306654968,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.306682732,I2C,0x7F + ACK,,,,,,,,
0.30670992,I2C,0x00 + ACK,,,,,,,,
0.306768036,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.306795804,I2C,0x05 + ACK,,,,LP_CONFIG,,,,
0.306829552,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.306856248,I2C,0x40 + NAK,,,,,,,,
0.306930548,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.306958316,I2C,0x05 + ACK,,,,,,,,
0.306985504,I2C,0x40 + ACK,,,,,0x40,,,
0.307057372,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.307085072,I2C,0x7F + ACK,,,,,,,,
0.307112264,I2C,0x20 + ACK,,,,,,,,
0.307170444,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.307198148,I2C,0x14 + ACK,,,,ACCEL_CONFIG,,,,
0.307232084,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.30725878,I2C,0x01 + NAK,,,,,,,,
0.307331832,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.307359532,I2C,0x14 + ACK,,,,,,,,
0.307386724,I2C,0x01 + ACK,,,,,0x01,,,
0.30745484,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.307482604,I2C,0x7F + ACK,,,,,,,,
0.307509796,I2C,0x20 + ACK,,,,,,,,
0.307567976,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.30759574,I2C,0x01 + ACK,,,,GYRO_CONFIG_1,,,,
0.307629488,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.307656184,I2C,0x01 + NAK,,,,,,,,
0.3077293,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.307757064,I2C,0x01 + ACK,,,,,,,,
0.307784256,I2C,0x01 + ACK,,,,,,0x01,,
0.307857372,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.307885076,I2C,0x7F + ACK,,,,,,,,
0.307912264,I2C,0x20 + ACK,,,,,,,,
0.307970448,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.307998208,I2C,0x14 + ACK,,,,ACCEL_CONFIG,,,,
0.308031956,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.308058652,I2C,0x01 + NAK,,,,,,,,
0.308131708,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.308159472,I2C,0x14 + ACK,,,,,,,,
0.30818666,I2C,0x39 + ACK,,,,,,0x39,,
0.308253528,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.308281296,I2C,0x7F + ACK,,,,,,,,
0.308308484,I2C,0x20 + ACK,,,,,,,,
0.3083666,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.308394364,I2C,0x01 + ACK,,,,GYRO_CONFIG_1,,,,
0.308428304,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.308454996,I2C,0x01 + NAK,,,,,,,,
0.308528052,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.308555816,I2C,0x01 + ACK,,,,,,,,
0.308583008,I2C,0x39 + ACK,,,,,,0x39,,
0.308654872,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.30868264,I2C,0x7F + ACK,,,,,,,,
0.308709828,I2C,0x20 + ACK,,,,,,,,
0.308767944,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.308795708,I2C,0x14 + ACK,,,,ACCEL_CONFIG,,,,
0.308829648,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.30885634,I2C,0x39 + NAK,,,,,,,,
0.308929396,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.30895716,I2C,0x14 + ACK,,,,,,,,
0.308984352,I2C,0x38 + ACK,,,,,,0x38,,
0.309056216,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.30908392,I2C,0x7F + ACK,,,,,,,,
0.309111108,I2C,0x20 + ACK,,,,,,,,
0.309169288,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.309197052,I2C,0x01 + ACK,,,,GYRO_CONFIG_1,,,,
0.309235932,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.309262624,I2C,0x39 + NAK,,,,,,,,
0.309335676,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.309363444,I2C,0x01 + ACK,,,,,,,,
0.309390632,I2C,0x38 + ACK,,,,,,0x38,,
0.315089192,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.31511696,I2C,0x7F + ACK,,,,,,,,
0.315144148,I2C,0x00 + ACK,,,,,,,,
0.315202328,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.315230092,I2C,0x1A + ACK,,,,INT_STATUS_1,,,,
0.31526384,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.315290532,I2C,0x00 + NAK,,,,,,,,
0.816666988,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.816694752,I2C,0x7F + ACK,,,,,,,,
0.81672194,I2C,0x00 + ACK,,,,,,,,
0.816780124,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.816807888,I2C,0x1A + ACK,,,,INT_STATUS_1,,,,
0.816841636,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.816868328,I2C,0x01 + NAK,,,,,,,,
0.816943944,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.816971712,I2C,0x7F + ACK,,,,,,,,
0.816998904,I2C,0x00 + ACK,,,,,,,,
0.817057016,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.81708472,I2C,0x2D + ACK,,,,ACCEL_XOUT_H,,,,
0.817118656,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.817145284,I2C,0xFF + ACK,,,,,,,,
0.817173792,I2C,0x80 + ACK,,,,,,,,
0.817201544,I2C,0xFF + ACK,,,,,,,,
0.8172293,I2C,0x20 + ACK,,,,,,,,
0.817257048,I2C,0x40 + ACK,,,,,,,,
0.8172848,I2C,0xF0 + ACK,,,,,,,,
0.817312556,I2C,0x00 + ACK,,,,,,,,
0.817340308,I2C,0x07 + ACK,,,,,,,,
0.817368056,I2C,0xFF + ACK,,,,,,,,
0.817395808,I2C,0xEC + ACK,,,,,,,,
0.817423564,I2C,0x02 + ACK,,,,,,,,
0.817451316,I2C,0x33 + ACK,,,,,,,,
0.817479068,I2C,0x04 + ACK,,,,,,,,
0.81750688,I2C,0x80 + NAK,,,,,,,,
0.817635,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.817662764,I2C,0x7F + ACK,,,,,,,,
0.817689956,I2C,0x20 + ACK,,,,,,,,
0.817748072,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.81777584,I2C,0x14 + ACK,,,,ACCEL_CONFIG,,,,
0.817809588,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.81783628,I2C,0x38 + NAK,,,,,,,,
0.817911836,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.81793954,I2C,0x7F + ACK,,,,,,,,
0.817966728,I2C,0x20 + ACK,,,,,,,,
0.818024844,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.818052608,I2C,0x01 + ACK,,,,GYRO_CONFIG_1,,,,
0.818086548,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.81811324,I2C,0x38 + NAK,,,,,,,,
0.818178796,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.81820656,I2C,0x15 + ACK,,,,,,,,
0.818240308,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.818267004,I2C,0x00 + NAK,,,,,,,,
0.818331368,I2C,Setup Write to [0x0C] + NAK,,,,,,,,
0.818375876,I2C,Setup Read to [0x0C] + NAK,,,,,,,,
0.857407204,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.857434968,I2C,0x7F + ACK,,,,,,,,
0.85746216,I2C,0x00 + ACK,,,,,,,,
0.85752034,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.857548104,I2C,0x1A + ACK,,,,,,,,
0.85758204,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.857608732,I2C,0x01 + NAK,,,,,,,,
0.857684352,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.857712116,I2C,0x7F + ACK,,,,,,,,
0.857739304,I2C,0x00 + ACK,,,,,,,,
0.857797424,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.857825124,I2C,0x2D + ACK,,,,,,,,
0.85785906,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.857885692,I2C,0xFF + ACK,,,,,,,,
0.857913444,I2C,0x88 + ACK,,,,,,,,
0.857941196,I2C,0xFF + ACK,,,,,,,,
0.857968952,I2C,0x48 + ACK,,,,,,,,
0.857996708,I2C,0x40 + ACK,,,,,,,,
0.858024456,I2C,0xA0 + ACK,,,,,,,,
0.858052208,I2C,0x00 + ACK,,,,,,,,
0.85807996,I2C,0x3B + ACK,,,,,,,,
0.858107712,I2C,0xFF + ACK,,,,,,,,
0.858137028,I2C,0xB1 + ACK,,,,,,,,
0.85816478,I2C,0x01 + ACK,,,,,,,,
0.858192528,I2C,0x8E + ACK,,,,,,,,
0.858220284,I2C,0x04 + ACK,,,,,,,,
0.858248096,I2C,0xA0 + NAK,,,,,,,,
0.858376156,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.85840392,I2C,0x7F + ACK,,,,,,,,
0.858431112,I2C,0x20 + ACK,,,,,,,,
0.858489228,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.858516992,I2C,0x14 + ACK,,,,,,,,
0.858550932,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.858577624,I2C,0x38 + NAK,,,,,,,,
0.858653176,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.858680884,I2C,0x7F + ACK,,,,,,,,
0.858708068,I2C,0x20 + ACK,,,,,,,,
0.858766188,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.858793952,I2C,0x01 + ACK,,,,,,,,
0.858827888,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.85885458,I2C,0x38 + NAK,,,,,,,,
0.858920136,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.8589479,I2C,0x15 + ACK,,,,,,,,
0.85898184,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.859008532,I2C,0x00 + NAK,,,,,,,,
0.8590729,I2C,Setup Write to [0x0C] + NAK,,,,,,,,
0.859117408,I2C,Setup Read to [0x0C] + NAK,,,,,,,,
0.898154924,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.898182688,I2C,0x7F + ACK,,,,,,,,
0.898209876,I2C,0x00 + ACK,,,,,,,,
0.898268056,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.89829582,I2C,0x1A + ACK,,,,,,,,
0.898329572,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.898356264,I2C,0x01 + NAK,,,,,,,,
0.89843188,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.898459644,I2C,0x7F + ACK,,,,,,,,
0.898486836,I2C,0x00 + ACK,,,,,,,,
0.898544952,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.898572656,I2C,0x2D + ACK,,,,,,,,
0.898606592,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.89863322,I2C,0xFE + ACK,,,,,,,,
0.89866098,I2C,0x50 + ACK,,,,,,,,
0.898688728,I2C,0xFF + ACK,,,,,,,,
0.898716484,I2C,0x50 + ACK,,,,,,,,
0.898744236,I2C,0x40 + ACK,,,,,,,,
0.898771984,I2C,0x80 + ACK,,,,,,,,
0.898799736,I2C,0xFF + ACK,,,,,,,,
0.898827492,I2C,0x64 + ACK,,,,,,,,
0.89885524,I2C,0xFE + ACK,,,,,,,,
0.898882992,I2C,0xC7 + ACK,,,,,,,,
0.898910748,I2C,0x00 + ACK,,,,,,,,
0.8989385,I2C,0x68 + ACK,,,,,,,,
0.898966252,I2C,0x04 + ACK,,,,,,,,
0.898994064,I2C,0xD0 + NAK,,,,,,,,
0.899128372,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.89915614,I2C,0x7F + ACK,,,,,,,,
0.899183328,I2C,0x20 + ACK,,,,,,,,
0.899241444,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.899269208,I2C,0x14 + ACK,,,,,,,,
0.899303148,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.89932984,I2C,0x38 + NAK,,,,,,,,
0.899405396,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.8994331,I2C,0x7F + ACK,,,,,,,,
0.899460288,I2C,0x20 + ACK,,,,,,,,
0.899518404,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.899546172,I2C,0x01 + ACK,,,,,,,,
0.899580108,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.8996068,I2C,0x38 + NAK,,,,,,,,
0.899672352,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.89970012,I2C,0x15 + ACK,,,,,,,,
0.899734056,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.899760748,I2C,0x00 + NAK,,,,,,,,
0.89982512,I2C,Setup Write to [0x0C] + NAK,,,,,,,,
0.899869624,I2C,Setup Read to [0x0C] + NAK,,,,,,,,
0.9389022,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.938929968,I2C,0x7F + ACK,,,,,,,,
0.938957156,I2C,0x00 + ACK,,,,,,,,
0.939015336,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.939043104,I2C,0x1A + ACK,,,,,,,,
0.939076852,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.939103544,I2C,0x01 + NAK,,,,,,,,
0.93917916,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.939206928,I2C,0x7F + ACK,,,,,,,,
0.939234116,I2C,0x00 + ACK,,,,,,,,
0.939292232,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.939319936,I2C,0x2D + ACK,,,,,,,,
0.939353872,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.939380504,I2C,0xFF + ACK,,,,,,,,
0.93940826,I2C,0x60 + ACK,,,,,,,,
0.939436008,I2C,0xFF + ACK,,,,,,,,
0.93946376,I2C,0x88 + ACK,,,,,,,,
0.939491516,I2C,0x40 + ACK,,,,,,,,
0.939519264,I2C,0x48 + ACK,,,,,,,,
0.939547016,I2C,0xFF + ACK,,,,,,,,
0.939574768,I2C,0x8D + ACK,,,,,,,,
0.93960252,I2C,0x00 + ACK,,,,,,,,
0.939630272,I2C,0x9B + ACK,,,,,,,,
0.939658024,I2C,0x00 + ACK,,,,,,,,
0.93968578,I2C,0x1A + ACK,,,,,,,,
0.939713532,I2C,0x04 + ACK,,,,,,,,
0.939741344,I2C,0x80 + NAK,,,,,,,,
0.939869464,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.939897232,I2C,0x7F + ACK,,,,,,,,
0.93992442,I2C,0x20 + ACK,,,,,,,,
0.93998254,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.940010304,I2C,0x14 + ACK,,,,,,,,
0.940044052,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.940070744,I2C,0x38 + NAK,,,,,,,,
0.940145112,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.94017288,I2C,0x7F + ACK,,,,,,,,
0.940200068,I2C,0x20 + ACK,,,,,,,,
0.940258184,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.940285952,I2C,0x01 + ACK,,,,,,,,
0.940319888,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.94034658,I2C,0x38 + NAK,,,,,,,,
0.940412132,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.9404399,I2C,0x15 + ACK,,,,,,,,
0.940473836,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.940500528,I2C,0x00 + NAK,,,,,,,,
0.940564896,I2C,Setup Write to [0x0C] + NAK,,,,,,,,
0.940609404,I2C,Setup Read to [0x0C] + NAK,,,,,,,,
0.979640668,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.979668436,I2C,0x7F + ACK,,,,,,,,
0.979695624,I2C,0x00 + ACK,,,,,,,,
0.979753804,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.979781568,I2C,0x1A + ACK,,,,,,,,
0.979815504,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.979842196,I2C,0x01 + NAK,,,,,,,,
0.979917816,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.97994558,I2C,0x7F + ACK,,,,,,,,
0.979972768,I2C,0x00 + ACK,,,,,,,,
0.980033012,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.98006078,I2C,0x2D + ACK,,,,,,,,
0.980094528,I2C,Setup Read to [0x69] + ACK,,,,,,,,
0.980121156,I2C,0xFF + ACK,,,,,,,,
0.980148908,I2C,0xB0 + ACK,,,,,,,,
0.98017666,I2C,0xFF + ACK,,,,,,,,
0.980204416,I2C,0x58 + ACK,,,,,,,,
0.980232168,I2C,0x41 + ACK,,,,,,,,
0.98025992,I2C,0x00 + ACK,,,,,,,,
0.980287668,I2C,0xFE + ACK,,,,,,,,
0.98031542,I2C,0xE6 + ACK,,,,,,,,
0.980343176,I2C,0xFF + ACK,,,,,,,,
0.980370928,I2C,0xA9 + ACK,,,,,,,,
0.98039868,I2C,0x00 + ACK,,,,,,,,
0.980426432,I2C,0xC9 + ACK,,,,,,,,
0.980454188,I2C,0x04 + ACK,,,,,,,,
0.980482,I2C,0xD0 + NAK,,,,,,,,
0.98061012,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.980637888,I2C,0x7F + ACK,,,,,,,,
0.980665076,I2C,0x20 + ACK,,,,,,,,
0.980723192,I2C,Setup Write to [0x69] + ACK,,,,,,,,
0.980750956,I2C,0x14 + ACK,,,,,,,,
